Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3,,
,,
,SN: 2130269553,SN: 2130269553
,SB 4000TL-21,SB 4000TL-21
,2130269553,2130269553
,Total yield,Day yield
,Counter,Analog
dd/MM/yyyy,kWh,kWh
01.03.2017,11581.757,22.693
02.03.2017,11604.603,22.846
03.03.2017,11623.99,19.387
04.03.2017,11646.194,22.204
05.03.2017,11664.427,18.233
06.03.2017,11687.561,23.134
07.03.2017,11710.405,22.844
08.03.2017,11732.624,22.219
09.03.2017,11753.525,20.901
10.03.2017,11774.035,20.51
11.03.2017,11787.962,13.927
12.03.2017,11807.096,19.134
13.03.2017,11828.102,21.006
14.03.2017,11848.713,20.611
15.03.2017,11867.178,18.465
16.03.2017,11872.949,5.771
17.03.2017,11895.378,22.429
18.03.2017,11916.306,20.928
19.03.2017,11936.494,20.188
20.03.2017,11950.648,14.154
21.03.2017,11957.18,6.532
22.03.2017,11964.856,7.676
23.03.2017,11985.852,20.996
24.03.2017,12000.349,14.497
25.03.2017,12015.468,15.119
26.03.2017,12033.283,17.815
27.03.2017,12042.525,9.242
28.03.2017,12062.471,19.946
29.03.2017,12079.219,16.748
30.03.2017,12091.292,12.073
31.03.2017,12102.862,11.57
