Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3

,SN: 2130269553,SN: 2130269553
,SB 4000TL-21,SB 4000TL-21
,2130269553,2130269553
,Total yield,Power
,Counter,Analog
dd/MM/yyyy hh:mm,kWh,kW
28/03/2022 12:00 AM,---,---
28/03/2022 12:05 AM,---,---
28/03/2022 12:10 AM,---,---
28/03/2022 12:15 AM,---,---
28/03/2022 12:20 AM,---,---
28/03/2022 12:25 AM,---,---
28/03/2022 12:30 AM,---,---
28/03/2022 12:35 AM,---,---
28/03/2022 12:40 AM,---,---
28/03/2022 12:45 AM,---,---
28/03/2022 12:50 AM,---,---
28/03/2022 12:55 AM,---,---
28/03/2022 01:00 AM,---,---
28/03/2022 01:05 AM,---,---
28/03/2022 01:10 AM,---,---
28/03/2022 01:15 AM,---,---
