Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3

,SN: 2130269553,SN: 2130269553
,SB 4000TL-21,SB 4000TL-21
,2130269553,2130269553
,Total yield,Power
,Counter,Analog
dd/MM/yyyy hh:mm,kWh,kW
12/12/2014 12:00 AM,21.956,2.832
12/12/2014 12:05 AM,22.195,2.868
12/12/2014 12:10 AM,22.437,2.904
12/12/2014 12:15 AM,22.683,2.952
12/12/2014 12:20 AM,22.932,2.988
12/12/2014 12:25 AM,23.184,3.024
12/12/2014 12:30 AM,23.438,3.048
12/12/2014 12:35 AM,23.692,3.048
12/12/2014 12:40 AM,23.949,3.084
12/12/2014 12:45 AM,24.205,3.072
12/12/2014 12:50 AM,24.465,3.120
12/12/2014 12:55 AM,24.728,3.156
12/12/2014 01:00 AM,24.999,3.252
12/12/2014 01:05 AM,25.249,3.000
12/12/2014 01:10 AM,25.519,3.240
12/12/2014 01:15 AM,25.790,3.252
12/12/2014 01:20 AM,26.064,3.288
12/12/2014 01:25 AM,26.341,3.324
12/12/2014 01:30 AM,26.617,3.312
12/12/2014 01:35 AM,26.880,3.156
12/12/2014 01:40 AM,27.155,3.300
12/12/2014 01:45 AM,27.441,3.432
12/12/2014 01:50 AM,27.697,3.072
12/12/2014 01:55 AM,27.890,2.316
12/12/2014 02:00 AM,28.054,1.968
12/12/2014 02:05 AM,28.372,3.816
12/12/2014 02:10 AM,28.627,3.060
12/12/2014 02:15 AM,28.886,3.108
12/12/2014 02:20 AM,29.027,1.692
12/12/2014 02:25 AM,29.156,1.548
12/12/2014 02:30 AM,29.294,1.656
12/12/2014 02:35 AM,29.444,1.800
12/12/2014 02:40 AM,29.703,3.108
12/12/2014 02:45 AM,30.000,3.564
12/12/2014 02:50 AM,30.312,3.744
12/12/2014 02:55 AM,30.623,3.732
12/12/2014 03:00 AM,30.910,3.444
12/12/2014 03:05 AM,31.208,3.576
12/12/2014 03:10 AM,31.491,3.396
12/12/2014 03:15 AM,31.779,3.456
12/12/2014 03:20 AM,32.068,3.468
12/12/2014 03:25 AM,32.354,3.432
12/12/2014 03:30 AM,32.637,3.396
12/12/2014 03:35 AM,32.749,1.344
12/12/2014 03:40 AM,32.969,2.640
12/12/2014 03:45 AM,33.190,2.652
12/12/2014 03:50 AM,33.465,3.300
12/12/2014 03:55 AM,33.730,3.180
12/12/2014 04:00 AM,33.993,3.156
12/12/2014 04:05 AM,34.254,3.132
12/12/2014 04:10 AM,34.516,3.144
12/12/2014 04:15 AM,34.774,3.096
12/12/2014 04:20 AM,35.005,2.772
12/12/2014 04:25 AM,35.260,3.060
12/12/2014 04:30 AM,35.513,3.036
12/12/2014 04:35 AM,35.763,3.000
12/12/2014 04:40 AM,36.008,2.940
12/12/2014 04:45 AM,36.249,2.892
12/12/2014 04:50 AM,36.489,2.880
12/12/2014 04:55 AM,36.728,2.868
12/12/2014 05:00 AM,36.964,2.832
12/12/2014 05:05 AM,37.200,2.832
12/12/2014 05:10 AM,37.430,2.760
12/12/2014 05:15 AM,37.659,2.748
12/12/2014 05:20 AM,37.885,2.712
12/12/2014 05:25 AM,38.106,2.652
12/12/2014 05:30 AM,38.323,2.604
