Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3

,SN: 2130269553,SN: 2130269553
,SB 4000TL-21,SB 4000TL-21
,2130269553,2130269553
,Total yield,Power
,Counter,Analog
dd/MM/yyyy hh:mm,kWh,kW
11/12/2014 12:00 AM,4.656,2.160
11/12/2014 12:05 AM,4.844,2.256
11/12/2014 12:10 AM,5.071,2.724
11/12/2014 12:15 AM,5.232,1.932
11/12/2014 12:20 AM,5.420,2.256
11/12/2014 12:25 AM,5.548,1.536
11/12/2014 12:30 AM,5.749,2.412
11/12/2014 12:35 AM,5.986,2.844
11/12/2014 12:40 AM,6.120,1.608
11/12/2014 12:45 AM,6.217,1.164
11/12/2014 12:50 AM,6.352,1.620
11/12/2014 12:55 AM,6.495,1.716
11/12/2014 01:00 AM,6.599,1.248
11/12/2014 01:05 AM,6.803,2.448
11/12/2014 01:10 AM,7.002,2.388
11/12/2014 01:15 AM,7.249,2.964
11/12/2014 01:20 AM,7.367,1.416
11/12/2014 01:25 AM,7.473,1.272
11/12/2014 01:30 AM,7.586,1.356
11/12/2014 01:35 AM,7.697,1.332
11/12/2014 01:40 AM,7.987,3.480
11/12/2014 01:45 AM,8.163,2.112
11/12/2014 01:50 AM,8.324,1.932
11/12/2014 01:55 AM,8.481,1.884
11/12/2014 02:00 AM,8.746,3.180
11/12/2014 02:05 AM,8.966,2.640
11/12/2014 02:10 AM,9.255,3.468
11/12/2014 02:15 AM,9.437,2.184
11/12/2014 02:20 AM,9.615,2.136
11/12/2014 02:25 AM,9.727,1.344
11/12/2014 02:30 AM,9.867,1.680
11/12/2014 02:35 AM,9.979,1.344
11/12/2014 02:40 AM,10.055,0.912
11/12/2014 02:45 AM,10.110,0.660
11/12/2014 02:50 AM,10.303,2.316
11/12/2014 02:55 AM,10.442,1.668
11/12/2014 03:00 AM,10.670,2.736
11/12/2014 03:05 AM,10.919,2.988
11/12/2014 03:10 AM,11.036,1.404
11/12/2014 03:15 AM,11.225,2.268
11/12/2014 03:20 AM,11.379,1.848
11/12/2014 03:25 AM,11.552,2.076
11/12/2014 03:30 AM,11.735,2.196
11/12/2014 03:35 AM,11.904,2.028
11/12/2014 03:40 AM,12.078,2.088
11/12/2014 03:45 AM,12.160,0.984
11/12/2014 03:50 AM,12.283,1.476
11/12/2014 03:55 AM,12.379,1.152
11/12/2014 04:00 AM,12.584,2.460
11/12/2014 04:05 AM,12.795,2.532
11/12/2014 04:10 AM,12.943,1.776
11/12/2014 04:15 AM,13.018,0.900
11/12/2014 04:20 AM,13.273,3.060
11/12/2014 04:25 AM,13.401,1.536
11/12/2014 04:30 AM,13.552,1.812
11/12/2014 04:35 AM,13.636,1.008
11/12/2014 04:40 AM,13.706,0.840
11/12/2014 04:45 AM,13.752,0.552
11/12/2014 04:50 AM,13.799,0.564
11/12/2014 04:55 AM,13.842,0.516
11/12/2014 05:00 AM,13.891,0.588
11/12/2014 05:05 AM,13.926,0.420
11/12/2014 05:10 AM,13.969,0.516
11/12/2014 05:15 AM,14.027,0.696
11/12/2014 05:20 AM,14.069,0.504
11/12/2014 05:25 AM,14.114,0.540
11/12/2014 05:30 AM,14.149,0.420
