Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3

,SN: 2130269553,SN: 2130269553
,SB 4000TL-21,SB 4000TL-21
,2130269553,2130269553
,Total yield,Day yield
,Counter,Analog
dd/MM/yyyy,kWh,kWh
01/10/2018,18803.353,22.759
02/10/2018,18815.755,12.402
03/10/2018,18823.528,7.773
04/10/2018,18831.618,8.090
05/10/2018,18855.456,23.838
06/10/2018,18878.441,22.985
07/10/2018,18898.159,19.718
08/10/2018,18919.879,21.720
09/10/2018,18924.886,5.007
10/10/2018,18945.755,20.869
11/10/2018,18969.981,24.226
12/10/2018,18994.075,24.094
13/10/2018,19015.719,21.644
14/10/2018,19036.393,20.674
15/10/2018,19053.292,16.899
16/10/2018,19056.709,3.417
17/10/2018,19071.205,14.496
18/10/2018,19081.207,10.002
19/10/2018,19101.785,20.578
20/10/2018,19109.354,7.569
21/10/2018,19129.035,19.681
22/10/2018,19152.992,23.957
23/10/2018,19165.084,12.092
24/10/2018,19185.248,20.164
25/10/2018,19207.730,22.482
26/10/2018,19229.137,21.407
27/10/2018,19242.914,13.777
28/10/2018,19268.036,25.122
29/10/2018,19293.746,25.710
30/10/2018,19316.210,22.464
31/10/2018,19331.616,15.406
